row_id,Order_Id,shipping_date_(DateOrders),score_model,alert_flag,Shipping_Mode,Order_Region,Market,Order_Country,Order_State
alert_26980,69383,2017-10-11 19:36:00,0.9999601854244132,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_26975,69379,2017-10-11 18:12:00,0.9999601854244132,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_8298,61271,2017-06-15 09:36:00,0.9999547994826189,1,First Class,South America,LATAM,Venezuela,Anzoátegui
alert_8297,61271,2017-06-15 09:36:00,0.9999547994826189,1,First Class,South America,LATAM,Venezuela,Anzoátegui
alert_3871,59385,2017-05-18 20:51:00,0.9999530665423213,1,First Class,South America,LATAM,Colombia,Bogotá
alert_27169,69575,2017-10-14 14:52:00,0.9999521529427091,1,First Class,Western Europe,Europe,Francia,Aquitania-Lemosín-Poitou-Charentes
alert_10540,62252,2017-06-29 17:17:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_10541,62252,2017-06-29 17:17:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_10543,62252,2017-06-29 17:17:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_10539,62252,2017-06-29 17:17:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_27933,70387,2017-10-26 11:21:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_10542,62252,2017-06-29 17:17:00,0.9999510848806772,1,First Class,Western Europe,Europe,Alemania,Renania del Norte-Westfalia
alert_32021,74663,2017-12-27 21:25:00,0.9999497520506992,1,First Class,Southeast Asia,Pacific Asia,Tailandia,Bangkok
alert_32019,74661,2017-12-27 20:43:00,0.9999497520506992,1,First Class,Southeast Asia,Pacific Asia,Tailandia,Bangkok
alert_32022,74664,2017-12-27 21:46:00,0.9999497520506992,1,First Class,Southeast Asia,Pacific Asia,Tailandia,Bangkok
alert_32020,74662,2017-12-27 21:04:00,0.9999497520506992,1,First Class,Southeast Asia,Pacific Asia,Tailandia,Bangkok
alert_5448,60054,2017-05-28 15:14:00,0.9999492161428003,1,First Class,Central America,LATAM,El Salvador,San Salvador
