delay_real,baseline0,baseline1,modeloB
1,0.5661302925939861,-0.007649776565931985,0.0361305364239878
1,0.5661302925939861,-0.007649776565931985,0.04464761681788769
2,0.5661302925939861,2.086232980332829,2.059484181697582
2,0.5661302925939861,2.086232980332829,2.006024400182226
2,0.5661302925939861,2.086232980332829,2.0217608358013552
2,0.5661302925939861,2.086232980332829,1.9943372326237805
2,0.5661302925939861,2.086232980332829,2.1062042629537814
-2,0.5661302925939861,-0.007649776565931985,0.02705648214843591
-2,0.5661302925939861,-0.007649776565931985,0.02744344333128485
-2,0.5661302925939861,-0.007649776565931985,0.02705648214843591
2,0.5661302925939861,-0.007649776565931985,-0.12987332616657818
2,0.5661302925939861,-0.007649776565931985,-0.11141750886171187
0,0.5661302925939861,-0.007649776565931985,-0.0683226049536941
-1,0.5661302925939861,-0.007649776565931985,-0.04048504341213526
-1,0.5661302925939861,-0.007649776565931985,0.01873787466398078
-1,0.5661302925939861,-0.007649776565931985,0.00821534071851815
-1,0.5661302925939861,-0.007649776565931985,0.012172808920205442
-2,0.5661302925939861,-0.007649776565931985,-0.03559358446268502
-2,0.5661302925939861,-0.007649776565931985,-0.03355766281477624
-2,0.5661302925939861,-0.007649776565931985,-0.038595869813424576
2,0.5661302925939861,-0.007649776565931985,-0.07813756252944055
2,0.5661302925939861,-0.007649776565931985,0.08025432548182225
2,0.5661302925939861,-0.007649776565931985,-0.06570370653623153
2,0.5661302925939861,-0.007649776565931985,-0.08673060643454197
2,0.5661302925939861,-0.007649776565931985,-0.06979566113023992
1,0.5661302925939861,-0.0686127744510978,-0.20237956870035934
1,0.5661302925939861,-0.0686127744510978,-0.16378425033702035
1,0.5661302925939861,-0.0686127744510978,-0.17463200010542548
1,0.5661302925939861,-0.0686127744510978,-0.16378425033702035
1,0.5661302925939861,1.0,1.0160809391293566
1,0.5661302925939861,1.0,1.032006158236478
1,0.5661302925939861,1.0,1.0220261681526337
1,0.5661302925939861,1.0,1.0175642824921762
0,0.5661302925939861,-0.007649776565931985,-0.0237942719709991
-1,0.5661302925939861,-0.007649776565931985,-0.12852328690850667
0,0.5661302925939861,0.4800354924578527,0.5097721110069485
1,0.5661302925939861,1.0,1.0131160859471795
1,0.5661302925939861,1.0,0.9833846958975583
1,0.5661302925939861,1.0,1.0220261681526337
2,0.5661302925939861,-0.007649776565931985,-0.030127365059936743
2,0.5661302925939861,-0.007649776565931985,-0.030793274011838876
2,0.5661302925939861,-0.007649776565931985,-0.009632721610303485
1,0.5661302925939861,-0.0686127744510978,-0.19462046634846064
1,0.5661302925939861,-0.0686127744510978,-0.1699896363608042
-1,0.5661302925939861,-0.0686127744510978,-0.13218292602740894
-1,0.5661302925939861,-0.0686127744510978,-0.23735389947358718
2,0.5661302925939861,-0.015990696322139845,-0.08456548255011088
2,0.5661302925939861,-0.015990696322139845,0.005433454574045845
1,0.5661302925939861,-0.007649776565931985,-0.02815933846188355
1,0.5661302925939861,-0.007649776565931985,-0.025157053111144002
1,0.5661302925939861,-0.007649776565931985,-0.02958963264977875
1,0.5661302925939861,-0.007649776565931985,0.010260638090588163
1,0.5661302925939861,-0.007649776565931985,-0.02030473960527588
0,0.5661302925939861,-0.015990696322139845,0.03695484216219739
0,0.5661302925939861,-0.015990696322139845,0.05295501849654947
-1,0.5661302925939861,-0.007649776565931985,0.03169428082470239
-1,0.5661302925939861,-0.007649776565931985,0.03208124200755132
-1,0.5661302925939861,-0.007649776565931985,0.02825671052312556
-1,0.5661302925939861,-0.007649776565931985,0.02140338414127927
-1,0.5661302925939861,-0.007649776565931985,0.028776766753922572
-2,0.5661302925939861,-0.015990696322139845,0.008369472194577982
-2,0.5661302925939861,-0.015990696322139845,0.011394150684372528
2,0.5661302925939861,-0.007649776565931985,-0.006983580404191272
2,0.5661302925939861,-0.007649776565931985,-0.013369660958420918
2,0.5661302925939861,-0.007649776565931985,-0.013369660958420918
1,0.5661302925939861,-0.015990696322139845,-0.028379083808218977
1,0.5661302925939861,-0.015990696322139845,-0.03589933240294207
0,0.5661302925939861,-0.0686127744510978,-0.1920407886978066
0,0.5661302925939861,-0.0686127744510978,-0.21635424066902934
0,0.5661302925939861,-0.0686127744510978,-0.19760777934794524
0,0.5661302925939861,-0.0686127744510978,-0.20273027868026275
0,0.5661302925939861,-0.0686127744510978,-0.23857076705818708
1,0.5661302925939861,2.086232980332829,2.394359720184775
0,0.5661302925939861,-0.007649776565931985,-0.02398667158431516
0,0.5661302925939861,-0.007649776565931985,-0.023308258607687246
-2,0.5661302925939861,-0.007649776565931985,0.08389236595900629
-2,0.5661302925939861,-0.007649776565931985,0.09536330740224082
-2,0.5661302925939861,-0.007649776565931985,0.08431656778620958
-2,0.5661302925939861,-0.007649776565931985,0.13696509670552381
-2,0.5661302925939861,-0.007649776565931985,0.09536330740224082
2,0.5661302925939861,-0.007649776565931985,-0.037547685193309574
2,0.5661302925939861,-0.007649776565931985,0.08655745117641554
3,0.5661302925939861,2.086232980332829,2.0458426775681673
3,0.5661302925939861,2.086232980332829,2.0000055867319038
1,0.5661302925939861,1.9558011049723756,1.921592765097895
1,0.5661302925939861,1.9558011049723756,1.9113725911775117
1,0.5661302925939861,1.9558011049723756,1.9059366340900616
1,0.5661302925939861,1.9558011049723756,1.935336696893066
1,0.5661302925939861,1.9558011049723756,1.9961395806994175
-1,0.5661302925939861,-0.0686127744510978,-0.15023753836036885
-1,0.5661302925939861,-0.0686127744510978,-0.12726979242943365
-1,0.5661302925939861,-0.0686127744510978,-0.18479022636598358
-1,0.5661302925939861,-0.0686127744510978,-0.14429517964210156
